SHAPE,sigma,r,adiabatic_time,resamples,overlap,success_prob,dt
22,1.5,1,5,25,0.8789122611680147,0.6219853212231162,0.1
22,1.5,1,5,25,0.9266673472906162,0.9679898011520257,0.1
22,1.5,1,5,25,0.3420835025868894,0.6629325490763007,0.1
22,1.5,0,0,25,0.1999999999999997,1.0,0.1
22,1.5,0,0,25,0.16666666666666657,1.0,0.1
22,1.5,0,0,25,0.16666666666666657,1.0,0.1
22,1.5,0,2,25,0.16666666666666666,1.0000000000000009,0.1
22,1.5,0,10,25,0.16666666666666666,1.0000000000000002,0.1
22,1.5,0,10,25,0.16666666666666666,1.0000000000000002,0.1
22,1.5,0,10,25,0.039813919344408914,1.0000000000000002,0.1
22,1.5,0,10,25,0.0960903005845081,1.0000000000000002,0.1
22,1.5,0,0,25,0.09609030058450806,1.0,0.1
22,1.5,0,1,25,0.09609030058450807,1.0000000000000002,0.1
22,1.5,0,10,25,0.0960903005845081,1.0000000000000002,0.1
22,1.5,0,0,25,0.0075265048779007224,1.0,0.1
22,1.5,0,10,25,0.007526504877900725,1.0000000000000002,0.1
22,1.5,0,0,25,0.0075265048779007224,1.0,0.1
22,1.5,0,0,25,0.4731826133631407,1.0,0.1
22,1.5,0,1,25,0.4731826133631406,1.0000000000000007,0.1
22,1.5,0,10,25,0.47318261336314044,1.0000000000000009,0.1
22,1.5,0,10,25,0.47318261336314066,1.0000000000000002,0.1
22,1.5,0,10,25,0.04999999999999998,1.0000000000000007,0.1
22,1.5,0,0,25,0.04999999999999998,1.0,0.1
22,1.5,0,0,25,0.1999999999999997,1.0,0.1
22,1.5,0,0,25,0.897213595499958,0.9999999999999997,0.1
22,1.5,0,0,25,0.897213595499958,0.9999999999999997,0.1
22,1.5,0,0,25,0.1999999999999997,1.0,0.1
22,1.5,0,0,25,0.1999999999999997,1.0,0.1
22,1.5,0,0,25,0.1999999999999997,1.0,0.1
22,1.5,0,0,25,0.1999999999999997,1.0,0.1
22,1.5,0,0,25,0.1999999999999997,1.0,0.1
22,1.5,0,0,25,0.8972135954999528,1.0000000000000002,0.1
22,1.5,0,5,25,0.8972135954999532,1.0,0.1
22,1.5,0,0,25,0.8972135954999528,1.0000000000000002,0.1
22,1.5,0,1,25,0.8972135954999533,1.0000000000000002,0.1
22,1.5,0,5,25,0.8972135954999532,1.0,0.1
22,1.5,0,5,25,0.8972135954999579,0.9999999999999999,0.1
22,1.5,0,5,25,0.8972135954999579,0.9999999999999999,0.1
22,1.5,0,7,25,0.8972135954999579,1.0,0.1
22,1.5,0,0,25,0.897213595499958,0.9999999999999997,0.1
22,1.5,0,0,25,0.897213595499958,0.9999999999999997,0.1
22,1.5,0,4,25,0.8972135954999578,1.0000000000000002,0.1
22,1.5,0,4,25,0.2213624991547846,1.0000000000000009,0.1
22,1.5,0,4,25,0.2213624991547846,1.0000000000000009,0.1
22,1.5,0,4,25,0.2213624991547846,1.0000000000000009,0.1
22,1.5,0,4,25,0.2213624991547846,1.0000000000000009,0.1
22,1.5,0,4,25,0.2213624991547846,1.0000000000000009,0.1
22,1.5,0,0,25,0.2500000000000001,1.0,0.1
22,1.5,0,0,25,0.2500000000000001,1.0,0.1
22,1.5,0,0,25,0.2500000000000001,1.0,0.1
22,1.5,0,0,25,0.2500000000000001,1.0,0.1
22,1.5,0,0,25,0.2500000000000001,1.0,0.1
22,1.5,0,0,25,0.2500000000000001,1.0,0.1
22,1.5,0,0,25,0.897213595499958,0.9999999999999997,0.1
22,1.5,0,0,25,0.897213595499958,0.9999999999999997,0.1
22,1.5,0,0,25,0.897213595499958,0.9999999999999997,0.1
22,1.5,0,0,25,0.4041706962834898,1.0,0.1
22,1.5,0,0,25,0.4041706962834898,1.0,0.1
22,1.5,0,0,25,0.4041706962834898,1.0,0.1
22,1.5,0,0,25,0.4041706962834898,1.0,0.1
22,1.5,1,0,25,0.4196655736695781,0.9635697314910254,0.1
22,1.5,5,0,25,0.44683991388361394,0.9048977058366419,0.1
22,1.5,0,5,25,0.47962247607265207,0.9999999999999999,0.1
22,1.5,1,5,25,0.4823588707632827,0.9940286529312786,0.1
22,1.5,1,5,25,0.48252540224168594,0.9935813518585981,0.1
22,1.5,0,10,25,0.9970223454422025,1.0,0.1
22,1.5,5,10,25,0.9985627311201234,0.6340521535075355,0.1
22,1.5,0,20,25,0.9993671862213722,0.9999999999999998,0.1
22,1.5,1,20,25,0.999421941647408,0.9578775165317864,0.1
22,1.5,0,10,25,0.9970223454422025,1.0,0.1
