adiabatic_time,r_value,sigma,resamples,overlap,cost
0,0,1,10,0.8972135954999579,0
0,1,1,10,0.9277352291099034,1.0348167363284784
0,2,1,10,0.9233761900358104,2.061334634939947
0,3,1,10,0.9438576466653624,3.163346647000473
0,4,1,10,0.9618505917213027,4.304844477144847
0,5,1,10,0.9764806863812737,5.466174200817476
0,6,1,10,0.9728460181841938,6.543336979588549
0,7,1,10,0.9872072859691784,7.763024044457526
0,8,1,10,0.9922026124424912,8.925525633352368
6,0,1,10,0.9996379949942527,6
6,1,1,10,0.9997231677071516,7.00750592430756
6,2,1,10,0.9997977602950234,8.022299833578359
6,3,1,10,0.9997859078582094,9.028775944801932
6,4,1,10,0.9999076849778281,10.049851423824972
6,5,1,10,0.9999079087619412,11.059241776253497
6,1,2,10,0.9998418792210751,8.006140279851017
6,2,2,10,0.9999537194734289,10.024287851518414
6,3,2,10,0.9999505680032865,12.051264009250097
6,4,2,10,0.9999950049273383,14.083767336844364
6,5,2,10,0.9999971625193451,16.094123156395682
0,1,2,10,0.9620126640153469,2.144723662612704
0,2,2,10,0.9716740847021592,4.3374540718770955
0,3,2,10,0.9797570926670451,6.568729125479168
0,4,2,10,0.9879776070723993,8.835137062566222
0,5,2,10,0.9948350023010022,11.145227029549947
3,0,1,10,0.956056515618212,3
3,1,1,10,0.9684638180574725,4.055059116627609
3,2,1,10,0.9777943082037622,5.124152840601065
3,3,1,10,0.9774344578007504,6.152729867746336
3,4,1,10,0.9842895731695528,7.237608796971424
3,5,1,10,0.9832909170968316,8.266136015184788
5,0,1,10,0.9950069518301252,5
5,1,1,10,0.996031486819494,6.015052958753897
5,2,1,10,0.9966995430109226,7.024637100348089
5,3,1,10,0.9983448060374394,8.04777865764366
5,4,1,10,0.9982908068276057,9.064527121201767
5,5,1,10,0.9989387012054869,10.087768752869453
9,0,1,10,0.9954303887320001,9
9,1,1,10,0.9959572997132295,10.013742214135519
9,2,1,10,0.9973304327778604,11.049184683255897
9,3,1,10,0.9976596385133658,12.068844896331214
9,4,1,10,0.9983582615028237,13.101439963885458
9,5,1,10,0.9984948123583743,14.116549625865645
12,0,1,10,0.9999183609970891,12
12,1,1,10,0.9999600205111001,13.011470251260974
12,2,1,10,0.9999528612029354,14.026584808179507
12,3,1,10,0.9999680028069031,15.042897112071975
12,4,1,10,0.9999781317574525,16.074647476377425
12,5,1,10,0.9999780155129726,17.08282964585884
0,15,1,100,0.9976705585925693,16.93555370670491
