SHAPE,sigma,r,adiabatic_time,resamples,overlap,success_prob,dt
1616,1.0,0,0.0,25,0.724684781177827,1.0000000000000013,0.1
1616,1.0,0,1.0,25,0.7311007701364478,1.000000000000001,0.1
1616,1.0,0,2.0,25,0.7484091632854404,0.9999999999999999,0.1
1616,1.0,0,3.0,25,0.7714908892348803,1.0000000000000053,0.1
1616,1.0,0,4.0,25,0.795298882929076,1.0000000000000007,0.1
1616,1.0,1,0.0,25,0.7589722254120729,0.8804212412386145,0.1
1616,1.0,1,1.0,25,0.7628686257745547,0.8758771722538584,0.1
1616,1.0,1,2.0,25,0.7825101122251663,0.8969113748631691,0.1
1616,1.0,1,3.0,25,0.7862744601437054,0.9310271294850345,0.1
1616,1.0,1,4.0,25,0.8109303279078722,0.9037862399739512,0.1
1616,1.0,0,5.0,25,0.8168796914498114,1.0000000000000044,0.1
1616,1.0,0,8.0,25,0.8652330665802473,0.999999999999993,0.1
1616,1.0,0,10.0,25,0.8886449037876517,0.9999999999999912,0.1
1616,1.0,0,15.0,25,0.9317758869933012,0.9999999999999928,0.1
1616,1.0,2,1.0,25,0.7818525155724413,0.8531438910097257,0.1
1616,1.0,2,0.0,25,0.7837256906008923,0.8387719453044449,0.1
1616,1.0,1,5.0,25,0.8328348745328619,0.922472745813117,0.1
1616,1.0,2,2.0,25,0.7925801929987535,0.8629725909690719,0.1
1616,1.0,1,8.0,25,0.8733561895661065,0.9254283211760687,0.1
1616,1.0,2,3.0,25,0.8141652937276416,0.8595936737321256,0.1
1616,1.0,2,4.0,25,0.8239776341820939,0.886535005290674,0.1
1616,1.0,1,10.0,25,0.8957678605484718,0.8933385780811454,0.1
1616,1.0,1,15.0,25,0.9348000489164905,0.9298352301194293,0.1
1616,1.0,3,1.0,25,0.7995716308637474,0.8378960879300216,0.1
1616,1.0,2,5.0,25,0.835007999031629,0.8731851219220806,0.1
1616,1.0,2,8.0,25,0.8785735099517723,0.8883295600128971,0.1
1616,1.0,3,2.0,25,0.7887829781623263,0.8706400240571215,0.1
1616,1.0,2,15.0,25,0.9360088146661808,0.9133350748118175,0.1
1616,1.0,2,10.0,25,0.897955262369628,0.9143873027015456,0.1
1616,1.0,3,3.0,25,0.8028102973203047,0.8812489163357076,0.1
