SHAPE,sigma,r,adiabatic_time,resamples,overlap,success_prob,dt
22,1,0,0,1,0.8262903013728511,0.9999999999999998,0.1
22,1,0,1,1,0.831453075579214,1.0000000000000002,0.1
22,1,0,2,1,0.8463112049940148,1.0,0.1
22,1,0,3,1,0.8686338035155077,1.0,0.1
22,1,0,4,1,0.8951989847159036,0.9999999999999997,0.1
22,1,1,0,1,0.8262903013728512,0.9993201310000523,0.1
22,1,1,1,1,0.8328993635416194,0.9982133196434317,0.1
22,1,1,2,1,0.8567234037186076,0.9781061142457017,0.1
22,1,1,3,1,0.8686338035155075,0.999809279735664,0.1
22,1,1,4,1,0.9215613741455393,0.9403599578283615,0.1
22,1,2,0,1,0.8414489807194265,0.9741715793472923,0.1
22,1,2,1,1,0.87395704915087,0.9204048016707719,0.1
22,1,2,2,1,0.8691077914981383,0.958015883711858,0.1
22,1,2,3,1,0.8770285102598758,0.9779971303685902,0.1
22,1,2,4,1,0.9128368802011734,0.9573359757392919,0.1
22,1,3,0,1,0.8389746424329563,0.9770810886987376,0.1
22,1,3,1,1,0.9023438780946244,0.8598435244323501,0.1
22,1,3,2,1,0.8799189780347344,0.9322968636347501,0.1
22,1,3,3,1,0.8760875607864776,0.98146696974879,0.1
22,1,3,4,1,0.9212281185703117,0.9313015767746933,0.1
22,1,0,0,1,0.8262903013728511,0.9999999999999998,0.1
22,1,0,0.5,1,0.8275542008626663,0.9999999999999993,0.1
22,1,0,1,1,0.831453075579214,1.0000000000000002,0.1
22,1,0,1.5,1,0.837784475316294,0.999999999999998,0.1
22,1,0,2,1,0.8463112049940148,1.0,0.1
22,1,0,2.5,1,0.8567204307459829,0.9999999999999996,0.1
22,1,0,3,1,0.8686338035155077,1.0,0.1
22,1,0,3.5,1,0.8816176909836938,0.9999999999999994,0.1
22,1,0,4,1,0.8951989847159036,0.9999999999999997,0.1
22,1,0,4.5,1,0.9088905675780696,1.0000000000000004,0.1
22,1,0,5,1,0.9222248035445573,1.0000000000000009,0.1
22,1,0,5.5,1,0.9347875580708797,0.9999999999999992,0.1
22,1,1,0,1,0.8405227646752103,0.979335732449713,0.1
22,1,1,0.5,1,0.8329108650143691,0.9916270494069627,0.1
22,1,1,1,1,0.8487591134619908,0.9702371172552909,0.1
22,1,1,1.5,1,0.840339267669292,0.9969580821811198,0.1
22,1,1,2,1,0.9011345816821348,0.8823823063579832,0.1
22,1,1,2.5,1,0.8626992733995615,0.987952711261554,0.1
22,1,1,3,1,0.8857537292952715,0.9703696177613857,0.1
22,1,1,3.5,1,0.8841015931552911,0.9948300853822526,0.1
22,1,1,4,1,0.8990818925289392,0.9899223019720924,0.1
22,1,1,4.5,1,0.9090375588993392,0.9998382984210755,0.1
22,1,1,5,1,0.923838149592004,0.9979470499959526,0.1
22,1,1,5.5,1,0.934841277121485,0.9998261559074368,0.1
22,1,2,0,1,0.8534771197786668,0.9453128700193631,0.1
22,1,2,0.5,1,0.8403618860582833,0.9762754673780504,0.1
22,1,2,1,1,0.8799016109086741,0.9007332406980373,0.1
22,1,2,1.5,1,0.8543918556408355,0.9680271987105558,0.1
22,1,2,2,1,0.8769366933256223,0.9376827562301846,0.1
22,1,2,2.5,1,0.900723271715976,0.9052435428102479,0.1
